"Rad_Initials","Equipment","Theatre","Weekly_DAP_Limit_Gycm2","Endoscopy","Gen_Surg","Max_Fax","Neuro_Surg","Orthopedics","Paediatrics","Pain_Clinic","Urology","Vascular"
"AAK","II6 (Round)","OT01",20,"ERCP","Cholangiogram","Orbital Floor Reconstruction","ACDF (Anterior Cervical Discectomy and Fusion)","Ankle ORIF","RPG","Joint Injection","RPG (Retrograde Pylogram)","Carotid Angiogram"
"ACB","II8 (Square)","OT02",20,"Duodenal Stent","Foreign Body Localisation","Plate and Screws","Corpectomy","Arthroscopy","PICC Line Insertion","RF Burns","RPG/Stent","Upper Extremity Angiogram"
"AEH","II9 (Endoscopy)","OT03",20,"Oesophagenal Stent","Line Insertion","","Joint Injection","DHS (Dynamic Hip Screws)","NG Tube","Pain Block","Stent","Lower Extremity Angiogram"
"AJK","IIGE (Pain Clinic)","OT04",20,"Bronchoscopy","PICC Insertion","","Laminectomy ","Elbow ORIF","","","Laser Lithotripsy","Portacath"
"AXB","IIZ (Zenition)","OT05",20,"Oesophageal Dilation","","","Pedicle Screw Fusion","External Fixation","","","PCNL (Percutaneous nephrolithotomy)",""
"AXS","II9 (Endoscopy)","OT06",20,"","","","Posterior Cervical Fusion","Femoral Nail","","","ESWL (Extracorporeal shock wave lithotripsy)",""
"BDP","IIZ (Zenition)","OT07",20,"","","","Decompression","Femoral ORIF","","","Catheter Insertion",""
"BLH","IIZ2 (Zenition)","OT08",20,"","","","Sacral Epidural","Finger ORIF","","","",""
"BMX","IIZ3 (Zenition)","OT09",20,"","","","","Foot ORIF","","","",""
"BWF","IIZ4 (Test)","OT10",20,"","","","Vertebral Localisation","Forearm ORIF","","","",""
"BXV","IIZ5 (Test2)","OT11",20,"","","","caudal epidural ","Hand/Wrist ORIF","","","",""
"CAB","euofedoswub","OT12",20,"","","","level check ","Hip Spica","","","",""
"CIC","","OT13",20,"","","","Foreign Body","Humerus ORIF","","","",""
"CRL","","OT14",20,"","","","Angiography","Joint Fusion","","","",""
"CXW","","OT15 (Hybrid)",20,"","","","","Knee ORIF","","","",""
"CZL","","EN1",20,"","","","","K-Wire","","","",""
"DET","","PC1",20,"","","","","Localisation","","","",""
"DJA","","",NA,"","","","","Tibial Nail","","","",""
"EXG","","",NA,"","","","","MUA (Manipulation)","","","",""
"HES","","",NA,"","","","","Pelvis ORIF","","","",""
"HMQ","","",NA,"","","","","Shoulder ORIF","","","",""
"JDS","","",NA,"","","","","Tens Nail","","","",""
"JGT","","",NA,"","","","","Patella Wiring","","","",""
"JJH","","",NA,"","","","","Tibial Plateu ORIF","","","",""
"JLF","","",NA,"","","","","Removal of Metalwork","","","",""
"JOS","","",NA,"","","","","","","","",""
"JVK","","",NA,"","","","","","","","",""
"KMC","","",NA,"","","","","","","","",""
"LCK","","",NA,"","","","","","","","",""
"LEP","","",NA,"","","","","","","","",""
"LJR","","",NA,"","","","","","","","",""
"LRK","","",NA,"","","","","","","","",""
"MCP","","",NA,"","","","","","","","",""
"MEB","","",NA,"","","","","","","","",""
"MGL","","",NA,"","","","","","","","",""
"MKH","","",NA,"","","","","","","","",""
"MKS","","",NA,"","","","","","","","",""
"MPH","","",NA,"","","","","","","","",""
"MSP","","",NA,"","","","","","","","",""
"NKP","","",NA,"","","","","","","","",""
"NML","","",NA,"","","","","","","","",""
"PJM","","",NA,"","","","","","","","",""
"RCR","","",NA,"","","","","","","","",""
"RDT","","",NA,"","","","","","","","",""
"REA","","",NA,"","","","","","","","",""
"RJA","","",NA,"","","","","","","","",""
"RJT","","",NA,"","","","","","","","",""
"RLC","","",NA,"","","","","","","","",""
"RMB","","",NA,"","","","","","","","",""
"SCM","","",NA,"","","","","","","","",""
"SGB","","",NA,"","","","","","","","",""
"SOS","","",NA,"","","","","","","","",""
"SRM","","",NA,"","","","","","","","",""
"TKM","","",NA,"","","","","","","","",""
"TMF","","",NA,"","","","","","","","",""
"TRH","","",NA,"","","","","","","","",""
"EJM","","",NA,"","","","","","","","",""
"JAP","","",NA,"","","","","","","","",""
"KNC","","",NA,"","","","","","","","",""
"TEB","","",NA,"","","","","","","","",""
